Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean,Abstract
P178043,Eastern and Southern Africa,Republic of Angola,,Angola Strengthening Statistical Capacity,"The PDO is to improve Angola’s statistical capacity, its efficiency in data production, and its use of data for public program monitoring.",National Institute for Statistics of Angola (INE),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178043,"November 2, 2021","March 25, 2022","May 15, 2023","July 31, 2027",BANK APPROVED,I,,60000000.0,0.0,,0.0,Republic of Angola,,,Moderate,,,,"January 10, 2024",,"The project will be structured in three components: (1) Institutional Reform and Statistical Capacity, (2) Data Production, and (3) Project Management and Monitoring and Evaluation. The project components and subcomponents were identified through discussions with INE. During preparation, input and feedback is being sought from a sample of intended primary project beneficiaries, to confirm whether proposed project activities are relevant and appropriate, and to identify any additional potential risks associated with the proposed project. The project components are described below: Component 1: Institutional Reform and Statistical Capacity: The first component builds on the progress made under the earlier project, Angola Statistics Project (P157671) referred to as Statcap I in this document, to support the modernization of INE and the national statistical system of Angola. Statcap I supported a series of targeted assessments and follow-up actions recommended by these assessments, including a large investment in information and communications technology of INE, targeted trainings across technical and project management areas, and improving managerial processes and organizations. This component will build on earlier investments by continuing the modernization of INE and increasing collaboration across the national statistical system. It will also support the development and implementation of a quality framework for quality control for basic and aggregated statistics based on international best practices. Component 2: Data Production: The second component aims to build a sustainable and affordable system of surveys to provide the country with up-to-date and high-quality socioeconomic information. This is accomplished by building on the foundation of surveys and censuses prepared under the StatCap I. This component is made up of five sub-components: 1) Economic data and national accounts; 2) Regular welfare monitoring; 3) Agricultural and Fisheries monitoring system; 4) Preparation for the demographic census; and 5) Dissemination and communication. In addition to collecting these data, INE will increase dissemination of information from these surveys, prepare preparing and disseminate disseminating detailed and timely reports, and investing in open data by publishing indicators and tabulations and make making freely available the anonymized datasets from each of these subcomponents in their INE’s micro-data library. Component 3. Project Management and Monitoring and Evaluation: Project planning and management will be supported by the provision of technical advisory services, training, operation costs, and the acquisition of goods. Successful implementation of the project requires a dedicated Project Implementation Unit (PIU) staffed with a project coordinator as well as specialists in financial management (FM), procurement, safeguards, and monitoring and evaluation (M&E). The project will also require regular financial auditing, both internal and external. The unit will be supported by international consultants, as needed, with a focus on building the capacity of the PIU over the initial phase of the project."
P175747,"Middle East, North Africa, Afghanistan, and Pakistan",Kingdom of Morocco,,Resilient and Sustainable Water in Agriculture,The project development objectives (PDO) are to: (i) enhance the governance of water in agriculture ; (ii) improve quality of Irrigation services; (iii) increase access to advisory services and to modern on-farm irrigation technologies in the Project Areas.,Ministry of Agriculture - Directorate of Irrigation,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P175747,"June 21, 2021","March 25, 2022","September 14, 2022","June 30, 2028",BANK APPROVED,I,,180000000.0,0.0,,0.0,Kingdom of Morocco,,,Substantial,,,,"January 31, 2024",,"The proposed project aims at : (i) implementing complementary Water Conservation Policies (Component 1) to enhance the governance framework of Water in Agriculture to ensure sustainability of water withdrawals from the agricultural sector, both surface and groundwater; (ii) scaling up benefits of irrigation modernization to new areas, mainly in Tadla and Souss-Massa regions (Component 2); and (iii) ensuring that advisory services with adequate coverage and quality will allow farmers to make the optimum use of hard and soft investments (Component 3).The project is organized around five components of the project as follows: (i) Component 1: Enhancement of Water in Agriculture governance in a context of increasing water scarcity (with Performance-Based Conditions - PBCs); (ii) Component 2: Modernization of Irrigation and Drainage services; (iii) Component 3: Improvement of access to advisory services and to modern on-farm technologies; (iv) Component 4: Project Management; and (v) Component 5: Contingent Emergency Response Component."
P176758,Eastern and Southern Africa,Republic of Kenya,,NATIONAL AGRICULTURAL VALUE CHAIN DEVELOPMENT PROJECT (NAVCDP),To increase market participation and value addition for targeted farmers in select value chains in project areas.,MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176758,"August 27, 2021","March 29, 2022","September 23, 2022","December 31, 2027",BANK APPROVED,I,,0.0,250000000.0,,0.0,The Republic of Kenya,,,Substantial,,,,"February 14, 2024",,"1. Kenya has witnessed strong economic growth and declining poverty incidence, but absolute poverty remains high. Since 2011, the economy has experienced robust GDP growth averaging 5.0- percent, catapulting Kenya to a middle-income status and significantly bringing down poverty levels. Kenya’s poverty rate is among the lowest in East African countries, at 33.4 percent in 2019. Poverty reduction in Kenya has been accompanied by reduced income inequality, with the Gini index falling from 0.45 in 2005/06 to 0.39 in 2015/16. Kenya’s Human Development Index for 2019 is 0.601, which put the country in the medium human development category and it’s the World Bank Human Capital Index of 0.55 for 2020 places Kenya third in Sub-Saharan Africa.2. Recently revised national accounts estimates have altered agriculture’s share of nominal GDP down to 21.2 percent in 2019, down from an earlier estimate of 34.1 percent. However, despite the lower GDP contribution, movement of employment from agriculture to other sectors stalled between 2016 and 2019, and then accelerated during the COVID-19 pandemic, when the sector absorbed 1.6 million additional workers, increasing its share of employment from 47 percent to 54 percent. Sectoral and Institutional Context.3. The agriculture sector continues to be central to long term economic growth and sustainable poverty reduction in Kenya, with growth of 4.8 percent in 2020, and employing nearly 8.5 million Kenyans, or 70 percent of rural employment. Between 2005-06 to 2015-16, households with agriculture as the primary source of income accounted for 27.6 percent of overall poverty reduction . Agriculture accounted for up to 65 percent of exports in 2017 when its share of value-added peaked at the highest level among Kenya’s regional and Sub-Saharan Africa Lower Middle Income Country peers. During the COVID-19 pandemic, strong performance of the agriculture sector significantly cushioned the blow to the Kenyan economy.4. With predominantly smallholder-based agriculture production and its associated challenges, productivity levels for major crops in Kenya are stagnating. Kenya’s agricultural total factor productivity (TFP) had decline by at least ten percentage points between 2006 and 2013 and stabilized thereafter. Kenya’s TFP growth in agriculture lags Rwanda, Ethiopia and Tanzania and South Asia and South-East Asian countries . Small-scale production systems (between 0.2 and 3 ha) account for 78 percent of total agricultural production and 70 percent of commercial production. Hampered by poor access to credit and extension services, these production systems use limited improved inputs and modern production practices, such as hybrid seeds, concentrated feeds and fertilizer, pesticides, machinery, and irrigation. This is reflected in the value added per worker which has remained relatively stagnant between 2006-2016 and lags best-in-class countries in Africa by up to seven times. 5. Access to credit is a major constraint driving low adoption of quality inputs and technologies. Lending to the agriculture sector has generally stayed below 5 percent of total lending with annual credit needs across key commodity chains estimated at Ksh 130 billion compared to only Ksh 40 billion available. Having access to a farmer’s credit group in the community is associated with high usage rates of inorganic fertilizer to make productivity gains. But while financial inclusion in Kenya has tripled in 13 years with 83 percent of Kenyans having a formal bank account but only 22 percent being financially healthy to invest in economic opportunities . And in 2019, only 5 percent of the 4.2 million local farmers reported having received or made farm related payments digitally. 6. In addition to input and credit challenges, there is need to address inefficient value chains and low levels of value addition. Major value chains in Kenya are riddled by inefficiencies, including limited post-harvest handling infrastructure, inefficient price discovery mechanisms leading to low farmgate prices and high levels of food wastage. In 2017, over 1.9 million tons of food was wasted to post-harvest losses, while Kenya was facing a severe drought . Small farms continue to produce 73.0 percent of total marketed production, most of which goes to the market without any value addition . Only 16 percent of Kenya’s agricultural exports are processed, compared with 57 percent for imports. There is potential to significantly ramp up value addition across several agriculture and livestock value chains to boost producer incomes while generating new jobs.7. Kenya’s agriculture growth faces significant climate change risks that are expected to intensify in the coming decades. Kenya’s average annual temperatures have increased by 1°C between 1960 and 2003, and by 1.5 °C in the drier parts of the country. These rising temperatures have led to increasingly erratic climatic patterns and a general decline of rainfall in the main season. With 98 percent of agriculture being rainfed, the sector and especially smallholder farmers are extremely vulnerable to such shocks. The economic cost of floods and droughts is also estimated to create long-term fiscal liabilities of 2 to 2.8 percent of GDP each year . Future climate change is expected to bear heavily on Kenya’s food and nutritional security with yield reductions of 40- 45 percentexpected for maize, rice, soyabean, coffee and tea by 2100, and increases in food prices of 75 to 90 percent by 2055. The agricultural sector is also the largest source (59 percent) of total GHG emissions in Kenya with livestock-related emissions accounting for more than 96 percent of those emissions. Kenya still lags significantly in climate change mitigation and adaptation, ranked Kenya 148 out of 192 countries for readiness to adapt to climate change. Building climate resilient agriculture value chains requires transition to systems that are more productive, use inputs more efficiently, and have greater stability in outputs.8. Poverty incidence among agriculture households decreases as they start selling produce in markets yet multiple barriers exist to agriculture commercialization for small-holder farmers in Kenya. Only 26 percent of market-oriented households are poor as compared to 38 percent of subsistence households. Market participating households have higher usage of inorganic fertilizers and irrigation, spend significantly higher on inputs and exhibit higher crop diversity. In Kenya, lack of high-capacity farmer organizations limits small-holder integration into value chains, raising transaction costs and reducing competitiveness. Critical infrastructure gaps include limited availability of processing facilities close to farm gate to reduce post-harvest losses, limited access to cold storage and warehousing facilities that can reduce distress sales and lack of market infrastructure that can reduce the distance from producer to end consumer. Going forward, any sustainable agriculture growth strategy must place a strong focus on aggregation, commercialization and enhancing market participation for farmers esp. subsistence farmers, while boosting productivity through improved access to quality inputs and extension services. 9. Under the Agriculture Sector Transformation and Growth Strategy (ASTGS), the authorities have initiated several forward-looking reforms to improve the enabling environment for market driven interventions and greater private sector participation in Kenyan agriculture. One key policy reform has been transforming its delivery mechanism of subsidized inputs through e-vouchers, that has enabled farmers to purchase ad choose source and type of inputs from private sector dealers with better targeting and electronic verification. GoK has also enacted a new Warehouse Receipt System (WRS) Act paving the way for a large-scale warehouse receipt system which can improve small-holder access to credit, choice to store"
P174903,Eastern and Southern Africa,Republic of Madagascar,,Pandemic Preparedness and Basic Health Services Delivery Project,To strengthen cross-sectoral capacity for pandemic preparedness and response and improve the provision of basic health services and quality of care,Ministry of Public Health,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174903,"February 17, 2021","March 29, 2022","August 12, 2022","June 30, 2026",BANK APPROVED,G,,0.0,93500000.0,,34900000.0,Republic of Madagascar,,,Substantial,,,,"December 21, 2023",,
P177004,Eastern and Southern Africa,Republic of Angola,,Climate Resilience and Water Security in Angola-RECLIMA,The Project Development Objective is to improve water supply services and strengthen water resources management for climate resilience in selected areas in the Angolan territory,Ministry of Energy and Water,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177004,"August 25, 2021","March 30, 2022","April 25, 2023","December 31, 2028",BANK APPROVED,O,,300000000.0,0.0,,150000000.0,"Republic of Angola,Ministry of Finance",,,Substantial,,,,"January 10, 2024",,"The proposed project will build on the achievements of PDISA in terms of expanded access to improved WASH services and water resources management strengthening to improve climate resilience and water security in Angola. The PDISA2 project is supporting DNA, IRSEA, targeted PWSUs, on institutional strengthening, water supply and sanitation planning investments in urban and peri-urban areas. This project will scale up support to four new provincial utilities, providing increased access to services, and improving utility performance. The project will support new investments to increase access to rural water supply and a community-level infrastructure program to develop water resources, as well as strengthening the capacity of sector institutions, including INRH and GABHIC to enhance WRM."
P175011,Europe and Central Asia,Republic of Turkiye,,Turkey Climate Smart and Competitive Agricultural Growth Project (TUCSAP),Strengthen capacity for sustainable and competitive agricultural growth and promote the use of climate-smart agriculture in targeted regions in Turkey.,Ministry of Agriculture and Forestry,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P175011,"July 14, 2021","March 30, 2022","September 6, 2022","March 31, 2028",BANK APPROVED,I,,341270016.0,0.0,,0.0,Republic of Turkey,,,Substantial,,,,"February 23, 2024",,
P177590,East Asia and Pacific,People's Republic of China,,Green Agricultural and Rural Revitalization Program for Results - Phase I,The Program Development Objective (PDO) is to enhance environmentally sustainable agricultural and rural infrastructure development in selected areas of Guangxi and Guizhou.,"Foreign Capital Project Management Center, Guangxi Agriculture and Rural Affairs Department,Project Center, Guizhou Provincial Rural Revitalization Administration",,https://projects.worldbank.org/en/projects-operations/project-detail/P177590,"October 29, 2021","March 31, 2022","March 27, 2024","June 30, 2028",BANK APPROVED,I,,320000000.0,0.0,,0.0,PEOPLE'S REPUBLIC OF CHINA,,,,,,,"June 26, 2024",,
P175043,Western and Central Africa,Western and Central Africa,,Gulf of Guinea Northern Regions Social Cohesion project,to improve regional collaboration and the socioeconomic and climate resilience of border-zone communities in the target northern regions of the Gulf of Guinea countries exposed to conflict and climate risks.,"Ministry of Local Government Decentralisation and Rural Development (Ghana),General Secretariat of the Presidency (Benin),Prime Minister’s Office (Côte d’Ivoire),National Community Development Support Agency (ANADEB) (Togo)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P175043,"December 18, 2020","March 31, 2022","June 17, 2022","December 31, 2027",BANK APPROVED,I,,0.0,506000000.0,,0.0,"Republic of Benin,Republic of Togo,Republic of Ghana,Republic of Côte d’Ivoire",,,Substantial,,,,"March 23, 2024",,"The development objective of Gulf of Guinea Northern Regions Social Cohesion Project for Benin, Cote d'Ivoire, Ghana, Togo is to improve regional collaboration and the socioeconomic and climate resilience of border-zone communities in the target northern regions of the Gulf of Guinea countries exposed to conflict and climate risks. This project has five components. 1) The first component, : Investing in Community Resiliency and Inclusion, has the following sub-components: (i) Community investments for strengthening local resilience and inclusion; (ii) Strategic economic investments for climate-resilient economic development; and (iii) Youth engagement and social cohesion activities. 2) The second component, Building foundation and capacity for inclusive and resilient communities, will finance various training and capacity-building activities that can build the capacity of local stakeholders to support or manage community-resilient and inclusive investments. 3) The third component, Regional Coordination Platform and Dialogue, aims to strengthen regional collaboration across the four target countries to support a coherent response to prevent FCV risks and manage climate and disaster risks in the Gulf of Guinea. 4) The fourth component, Project Management, will support project management and coordination at the regional, national, and subnational levels."
P172806,East Asia and Pacific,People's Republic of China,,Yellow River Basin Ecological Protection and Environmental Pollution Control Program,"To strengthen integrated water use efficiency, water pollution control, and ecosystem management, in selected regions of the Yellow River Basin","Yellow River Conservancy Commission (YRCC), Ministry of Water Resources,Henan Provincial Finance Bureau,Shaanxi Provincial Finance Bureau",,https://projects.worldbank.org/en/projects-operations/project-detail/P172806,"June 28, 2021","March 31, 2022","August 2, 2024","June 30, 2029",BANK APPROVED,I,,380000000.0,0.0,,0.0,People's Republic of China,,,,,,,"May 31, 2024",,
P172980,Latin America and Caribbean,St. Vincent and the Grenadines,,Coastal and Marine Ecosystems Management Strengthening Project,To strengthen the management of coastal and marine ecosystems of St. Vincent and the Grenadines.,"Sustainable Development Unit, Ministry of Tourism, Civil Aviation, Sustainable Development & Culture",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172980,"May 6, 2020","April 5, 2022","July 19, 2022","April 30, 2027",BANK APPROVED,O,,,,,3650000.0,"Ministry of Finance, Economic Planning and Information Technology",,,Moderate,,,,"February 12, 2024",,"The Coastal and Marine Ecosystems Management Project seeks to address the challenges for coastal and marine management in St. Vincent and the Grenadines (SVG), including anthropogenic pressures, institutional fragmentation, policy and regulatory inadequacies, and lack of adaptive capacity through data-driven solutions. The Project will be funded by a GEF Trust Fund grant in the amount of US$3.65 million. The project includes three major interacting components implemented in parallel. Component 1 will support the operationalization of the Oceans Policy and Strategic Action Plan (NOPSAP), including the strengthening of the National Oceans Coordinating Committee (NOCC), primarily by further developing the institutional capacity for mainstreaming coastal and marine policies and management for the key sectors that rely on and impact these resources. Specifically, this component will engage a consultancy to analyze and improve the institutional and legal framework for coastal and marine management. Component 2 will support activities to demonstrate spatial planning, participatory conservation, and innovative financing arrangements through on-the-ground investments in four target coastal and marine pilot sites. These piloting will complement processes in Component 1’s activities supporting coastal and marine planning. The identified pilot sites include: (i) St. Vincent Southeast Landscape/Seascape: Milligan Cay, Brighton, Diamond and Stubbs beaches; (ii) Grenadines Landscape/Seascape: Union Island and Tobago Cays Marine Park; (iii) Leeward Coast: Richmond Beach, Chateaubelair Bay, Petit Bordel Bay and Troumaca Bay; and (iv) Colonarie Beach.Component 3 will support the improve the quality and availability of coastal and marine data to inform policy and decision-making processes in SVG. This will be primarily accomplished through the development of the National Environmental Data and Information Platform (NEDIP), which will be a publicly available resource that consolidates existing data from relevant Government entities and eventually could include data from NGOs, private sector, and communities. The component will also support communication and knowledge management plan for coastal and marine areas and include capacity building for project stakeholders, including government, NGOs, private sector, and communities to understand and address gender dimensions in the sector as well as the implementation of the gender action plan. In addition to the above 3 key components, component 4 ‘Project Coordination and Management’ will support the direct equipment, and operational and incremental staff costs for project coordination and management. The Sustainable Development Unit (SDU) under the Ministry of Tourism, Civil Aviation, Sustainable Development & Culture will be responsible for implementing the project."
P171266,Europe and Central Asia,Bosnia and Herzegovina,,Agriculture Resilience and Competitiveness Project,The Project Development Objective is to increase climate resilience and competitiveness of the agriculture sector.,"Ministry of Agriculture, Water Management and Forestry of FBiH,Ministry of Foreign Trade and Economic Relations of BiH,Ministry of Agriculture, Forestry and Water Management of RS",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171266,"August 22, 2020","April 7, 2022","September 19, 2023","December 31, 2027",BANK APPROVED,I,,68500000.0,0.0,,0.0,Bosnia and Herzegovina,,,Substantial,,,,"December 15, 2023",,No changes are required.
P173734,Europe and Central Asia,Kyrgyz Republic,,Climate Resilient Water Services Project,"The project development objective is to (i) increase access to climate-resilient water services in selected river basins, and (ii) strengthen institutional capacities for climate-resilient water management at the local and national levels.","Water Resources Service,State Institution for Drinking Water Supply and Wastewater Disposal",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173734,"June 28, 2021","April 15, 2022","October 31, 2022","December 31, 2028",BANK APPROVED,I,,0.0,100000000.0,,0.0,Ministry of Finance,,,Substantial,,,,"January 18, 2024",,"The development objective of Climate Resilient Water Services Project for Kyrgyz Republic is to (i) increase access to climate-resilient water services in selected river basins, and (ii) strengthen institutional capacities for climate-resilient water management at the local and national levels. This project has four components. 1) The first component, Infrastructure Investments and Service Improvements, has the following sub-components: (i) Water Supply and Sanitation infrastructure; and (ii) Irrigation and Drainage Services Improvement. 2) The second component, Institutional Strengthening for Climate Resilient Service Delivery, Water Resources Management and Dam Management, has the following sub-components: (i) Institutional Strengthening for WSS Service Delivery; (ii) Institutional strengthening for irrigation water services delivery; (iii) Water and soil quality monitoring system; and (iv) Dam management. 3) The third component, Project Management, Monitoring and Evaluation (M&E) and Professional Development, will finance the required staff, consultant services, professional development and operating costs that will allow the Project Implementation Units to carry out their responsibilities for implementation. 4) The fourth component, Contingent Emergency Response Component (CERC), allows the government to request the World Bank to recategorize and reallocate uncommitted financing from other project components to cover emergency response and recovery costs."
P171462,Eastern and Southern Africa,Republic of Rwanda,,Commercialization and De-Risking for Agricultural Transformation Project,"The Project Development Objectives are to increase the use of irrigation and commercialization among producers and agribusiness firms in supported value chains, and to increase access to agricultural finance.","Rwanda Agriculture and Animal Resources Development Board,Development Bank of Rwanda",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P171462,"July 14, 2020","April 15, 2022","July 29, 2022","April 30, 2027",BANK APPROVED,I,,0.0,220000000.0,,4000000.0,"Ministry of Finance and Economic Planning (MINECOFIN), Republic of Rwanda",,,Substantial,,,,"June 27, 2024",,"The project will be structured around four components: C1 - Value Chain and Infrastructure Development, C2 - Agricultural Finance and Insurance, C3 - Project Management and Capacity Building, and C4 - Contingency Emergency Response Component.The components are strongly interlinked, as they would be jointly addressing the binding constraints to Rwanda’s agriculture transformation from a subsistence sector to a knowledge-based value creating sector. Land constraints and fragmentation, limited access to finance, insufficient skills, and weak market and value chain linkages are the main challenges Rwanda is facing to making the leap to a market-driven agri-food system. In response, Component 1 will focus on strengthening market and value chain linkages and on improving land use efficiency for commercial agricultural production using a climate adaptation and mitigation lens. It will build up demand for financial services that can unlock investments to modernize and grow the agri-food sector. Component 2 will address the supply-side of financial services for agriculture, by leveraging and deploying private sector capital and strengthening the provision of instruments to de-risk the sector. Component 3 will be a Contingent Emergency Response Component (CERC). Component 4 will focus on Project Management. At the heart of this transformation are cooperatives and agri-SMEs, who aggregate production, services and risks and can effectively establish links upstream and downstream their respective value chains.The project will follow a holistic value chain approach, with a focus on agri-food value chains that have been chosen based on their market and growth potential: rice, maize, and horticulture. The project will mainstream climate smart agriculture technology to build resilience across all components and will leverage innovation, data analytics and disruptive technologies throughout all its activities. Equally, it will promote partnerships around innovation and productive/market infrastructure development (to include irrigation, and storage/processing facilities), and aim to address both supply- and demand-side constraints affecting agricultural investments. At the same time, it will promote as appropriate private sector participation, fully in line with operationalizing the principles of Maximizing Finance for Development (MFD) in the agriculture and food sector and value-chains and with the Government’s new strategic orientation towards greater private sector role in agriculture and food.The project will apply a gender, youth, and disability inclusion lens in implementation to ensure that access to productive assets, financial services and information is adequately prioritized for these groups. As such, the scope of project activities and eligibility criteria will be reflective of the relevant gender and age specificities or disability needs. The results framework will ensure that indicators include gender disaggregation, where applicable. Most importantly, the project design and implementation will be fully informed by the Government’s Gender and Youth Mainstreaming Strategy (April 2019) in agriculture, which includes specific provisions on how to address gender and youth gaps across five priority areas: (i) financial services; (ii) markets and value chain representation; (iii) extension support, inputs and technologies; (iv) institutional mainstreaming capacity; and (v) empowerment and decision-making."
P177632,Latin America and Caribbean,Federative Republic of Brazil,,BR State of Goias Sustainable Recovery DPF,"The Program Development Objective of this DPF is to support the State of Goiás in: (i) improving fiscal sustainability; and (ii) adopting climate-smart, resilient, and inclusive policies for its agricultural sector.","State Secretariat of Agriculture and Livestock (SEAPA),State Secretariat of Economy (Secretaria Estadual da Economia),State Secretariat of Environment and Sustainable Development (SEMAD)",,https://projects.worldbank.org/en/projects-operations/project-detail/P177632,"January 26, 2022","April 28, 2022","October 7, 2022","December 31, 2024",BANK APPROVED,I,,500000000.0,0.0,,0.0,State of Goiás,,,,,,,"December 14, 2023",,"The development objectives of the State of Goias Sustainable Recovery Development Policy Financing in Brazil are to support the State of Goias in: (i) improving fiscal sustainability; and (ii) adopting climate-smart, resilient, and inclusive policies for its agricultural sector. The first pillar of this Development Policy Financing (DPF) supports the fiscal recovery of Goias through the adoption of a spending cap, by consolidating spending on pensions, and the adoption of a medium-term fiscal adjustment plan. Goias is in the process of adopting a strong set of fiscal reforms and is committing to additional targets to ensure a fiscal recovery. An expenditure ceiling rule will help contain recurrent spending growth. A pension reform that increases the minimum retirement age and increases the contribution rate is expected to reduce the pension deficit by almost 20 percent. With these reforms, the DPF will help Goiás in becoming eligible for the federal government’s fiscal adjustment instrument for states (named “Fiscal Recovery Regime” - FRR), building further on the expected results of this DPF. The FRR places Goias under a medium-term fiscal consolidation plan to improve its creditworthiness in the medium-term, increase its access to credit and federal guarantees, and improve the profile of its debt portfolio through additional fiscal consolidation measures. It thus enables this stand-alone DPF to contribute to keeping the State’s public finances on track in the medium-term. The second pillar supports the State of Goias in adopting climate-smart, resilient and inclusive policies for its agricultural sector. It helps steer Goias’ agricultural sector towards climate-smart practices, including the adoption of the State Plan to address climate mitigation and adaptation. It also supports measures that reduce GHG emissions and increase carbon storage in the soil, by aiming at a 10 percent per year increase in the use of non-chemical fertilizers and phytosanitary products. It strengthens the climate focus of the State’s environmental licensing framework by reducing compensation fees for GHG emission-neutral enterprises. Finally, the DPF supports land tenure regularization for smallholders through regulations that are environmentally sound, inclusive, and gender balanced."
P177782,Western and Central Africa,Republic of Cameroon,,Emergency Project to Combat the Food Crisis in Cameroon,The Project Development Objective (PDO) is to strengthen food and nutrition security and increase resilience to climate shocks of targeted households and producers.,Ministry of Agriculture and Rural Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177782,"March 28, 2022","May 2, 2022","November 25, 2022","December 31, 2025",BANK APPROVED,I,,0.0,100000000.0,,0.0,The Republic of Cameroon,,,High,,,,"June 11, 2024",,"The development objective of the Emergency Project to Combat the Food Crisis Project for Cameroon is to strengthen food and nutrition security and increase resilience to climate shocks of targeted households and producers. The project comprises of five components. The first component, support for early response food and nutrition stabilization towards early recovery and resilience building will address immediate food and nutrition insecurity needs in project targeted areas in response to climate stresses and shocks such as droughts, floods, or uncertainty in rainfall patterns that are a primary driver of food insecurity. It consists of following sub-components: (i) provision of emergency food and nutrition assistance; and (ii) labor-intensive public works (LIPW) for resilience. The second component, strengthening productive capacities of smallholders through crop and livestock support for climate and nutritional resilience will focus on improving sustainable, climate smart agriculture (CSA) production including postharvest management, processing, and market access for producers to improve food security. It consists of following sub-components: (i) support for food production for farmers and agri-food processors; and (ii) support to pastoralists and fishermen, and related processing. The third component, support for strengthening government food security crisis monitoring capacity, information systems, and agrometeorological services will strengthen food security early warning and information systems and preparedness such that Cameroon can minimize both humanitarian and climate vulnerability linked costs of future food security crises. It consists of following sub-components: (i) strengthening of government capacity and information on food security, agrometeorological conditions, market prices; and (ii) development of digital tools to support food security response and climate resilience. The fourth component, project management, monitoring and evaluation aim is to support the Project Implementation Unit (PIU) in facilitating efficient implementation of project activities and tracking of results. The fifth component, contingent emergency response component (CERC) is included to allow for quick disbursement of systems, and agrometeorological services uncommitted balances to respond to unanticipated future crisis."
P178866,"Middle East, North Africa, Afghanistan, and Pakistan",Lebanese Republic,,Lebanon: Wheat supply emergency response project,"The Project Development Objective is to ensure the availability of wheat in Lebanon, in response to the global commodity market disruptions, and to maintain access to affordable bread by poor and vulnerable households.",Ministry of Economy and Trade,No,https://projects.worldbank.org/en/projects-operations/project-detail/P178866,"April 14, 2022","May 6, 2022","August 19, 2022","October 31, 2024",BANK APPROVED,I,,135000000.0,0.0,,15000000.0,The Lebanese Republic,,,Substantial,,,,"December 21, 2023",,"The development objective of the Wheat Supply Emergency Response Project for Lebanon is to ensure the availability of wheat in Lebanon, in response to the global commodity market disruptions, and to maintain access to affordable bread by poor and vulnerable households. The project comprises of two components. The first component, financing immediate wheat import needs and maintaining bread access for poor and vulnerable population groups will finance immediate wheat purchases to avoid the disruption of imports in the short term, and its dire socioeconomic implications. The second component, project management and capacity building will finance all aspects of project management, including equipment and materials, consultant costs, compliance with fiduciary, procurement (including internal controls and auditing), and safeguards (environmental and social) requirements (including a citizen engagement mechanism and a strengthened grievance mechanism (GM) for better risk management), monitoring and evaluation, and impact assessment, knowledge management and communication."
P178009,East Asia and Pacific,Republic of Indonesia,,Mangroves for Coastal Resilience Project,To enhance the management of mangroves and livelihoods of local communities in selected areas,"Coordinating Ministry for Food Affairs,Indonesian Environment Fund (IEF)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178009,"November 26, 2021","May 20, 2022","December 8, 2022","April 30, 2027",BANK APPROVED,I,,400000000.0,0.0,,19000000.0,"Ministry of Forestry,Republic of Indonesia",,,Substantial,,,,"February 29, 2024",,"The development objective of Mangroves for Coastal Resilience Project for Indonesia is to enhance the management of mangroves and livelihoods of local communities in selected areas. This project has four components. 1) The first component, Strengthening Policy and Institutions for Mangrove Management, has the following sub-components: (i) Strengthening Policy, Governance, and Coordination; (ii) Improving and Updating the National Mangrove Map; (iii) Registration and Monitoring of Mangrove Rehabilitation and Sustainable Mangrove Management; and (iv) Preparation of Mangrove Blue Carbon Offset Readiness. 2) The second component, Rehabilitating and Promoting Sustainable Mangrove Management, has the following sub-components: (i) Large-Scale Community-Based Mangrove Rehabilitation; and (ii) Sustainable Mangrove Management. 3) The third component, Improving Livelihood Opportunities for Mangrove Communities, has the following sub-components: (i) Promoting Community-Based Livelihoods; and (ii) Coastal Enterprise Development. 4) The fourth component, Operation Management, will support project management and coordination activities to ensure that the project is effectively managed and in accordance with fiduciary and environment and social risk management requirements."
